industry,n_stocks,applicability,ci_low,ci_high,p_value,bh_significant
ETF,9,0.0,0.0,0.0,1.0,0
光電業,111,0.2702702702702703,0.1891891891891892,0.36036036036036034,1.0,0
其他,87,0.28735632183908044,0.19540229885057472,0.3793103448275862,1.0,0
其他電子業,36,0.05555555555555555,0.0,0.1388888888888889,1.0,0
其他電子類,39,0.1282051282051282,0.02564102564102564,0.23076923076923078,1.0,0
化學工業,11,0.09090909090909091,0.0,0.2727272727272727,1.0,0
化學生技醫療,66,0.3787878787878788,0.25757575757575757,0.5,0.9834033193361328,0
半導體業,151,0.18543046357615894,0.12582781456953643,0.25165562913907286,1.0,0
塑膠工業,24,0.20833333333333334,0.041666666666666664,0.375,0.9994001199760048,0
存託憑證,5,0.8,0.4,1.0,0.0627874425114977,0
居家生活,7,0.14285714285714285,0.0,0.42857142857142855,0.9908018396320736,0
居家生活類,13,0.23076923076923078,0.0,0.46153846153846156,0.9850029994001199,0
建材營造,85,0.23529411764705882,0.15294117647058825,0.32941176470588235,1.0,0
數位雲端,4,0.25,0.0,0.75,0.9478104379124175,0
數位雲端類,9,0.5555555555555556,0.2222222222222222,0.8888888888888888,0.3625274945010998,0
文化創意業,24,0.5416666666666666,0.3333333333333333,0.75,0.40531893621275744,0
橡膠工業,12,0.5,0.25,0.75,0.6052789442111578,0
水泥工業,7,0.0,0.0,0.0,1.0,0
汽車工業,32,0.40625,0.25,0.5625,0.8956208758248351,0
油電燃氣業,12,0.3333333333333333,0.08333333333333333,0.5833333333333334,0.9370125974805039,0
玻璃陶瓷,5,0.2,0.0,0.6,0.9438112377524495,0
生技醫療業,76,0.40789473684210525,0.3026315789473684,0.5131578947368421,0.9610077984403119,0
紡織纖維,49,0.32653061224489793,0.20408163265306123,0.4489795918367347,0.9932013597280543,0
綠能環保,9,0.3333333333333333,0.0,0.6666666666666666,0.8574285142971406,0
綠能環保類,10,0.0,0.0,0.0,1.0,0
航運業,26,0.11538461538461539,0.0,0.23076923076923078,1.0,0
觀光事業,1,0.0,0.0,0.0,1.0,0
觀光餐旅,39,0.48717948717948717,0.3333333333333333,0.6410256410256411,0.5590881823635273,0
貿易百貨,17,0.47058823529411764,0.23529411764705882,0.7058823529411765,0.5866826634673066,0
資訊服務業,33,0.12121212121212122,0.030303030303030304,0.24242424242424243,1.0,0
農業科技業,3,0.3333333333333333,0.0,1.0,0.7270545890821836,0
通信網路業,84,0.2619047619047619,0.16666666666666666,0.35714285714285715,1.0,0
造紙工業,7,0.2857142857142857,0.0,0.5714285714285714,0.891621675664867,0
運動休閒,13,0.38461538461538464,0.15384615384615385,0.6153846153846154,0.7996400719856028,0
運動休閒類,8,0.25,0.0,0.625,0.9734053189362127,0
金融保險,35,0.11428571428571428,0.02857142857142857,0.22857142857142856,1.0,0
金融業,9,0.2222222222222222,0.0,0.5555555555555556,0.9688062387522496,0
鋼鐵工業,46,0.3695652173913043,0.2391304347826087,0.5,0.979004199160168,0
電器電纜,16,0.0625,0.0,0.1875,1.0,0
電子工業,13,0.6153846153846154,0.38461538461538464,0.8461538461538461,0.1941611677664467,0
電子通路業,34,0.08823529411764706,0.0,0.20588235294117646,1.0,0
電子零組件業,189,0.25396825396825395,0.19576719576719576,0.31746031746031744,1.0,0
電機機械,82,0.32926829268292684,0.23170731707317074,0.43902439024390244,0.999000199960008,0
電腦及週邊設備業,101,0.2079207920792079,0.12871287128712872,0.2871287128712871,1.0,0
食品工業,29,0.20689655172413793,0.06896551724137931,0.3793103448275862,0.9998000399920016,0
