stock_id,industry,is_listed,is_otc,train_trading_days,test_trading_days,included,industry_snapshot_date,industry_reference_date,stock_name
3622,光電業,1,0,0,0,0,2026-03-05,2026-03-05,洋華
3623,光電業,0,1,0,0,0,2026-03-05,2026-03-05,富晶通
3624,電子零組件業,0,1,0,0,0,2026-03-05,2026-03-05,光頡
3625,電腦及週邊設備業,0,1,0,0,0,2026-03-05,2026-03-05,西勝
3628,其他電子類,0,1,0,0,0,2026-03-05,2026-03-05,盈正
3629,文化創意業,0,1,0,0,0,2026-03-05,2026-03-05,地心引力
3630,光電業,0,1,0,0,0,2026-03-05,2026-03-05,新鉅科
3631,電子零組件業,0,1,0,0,0,2026-03-05,2026-03-05,晟楠
3632,通信網路業,0,1,0,0,0,2026-03-05,2026-03-05,研勤
3638,半導體業,1,0,0,0,0,2024-12-04,2026-03-05,F-IML
3642,其他電子類,0,1,0,0,0,2022-11-19,2026-03-05,駿熠電
3645,電子零組件業,1,0,0,0,0,2026-03-05,2026-03-05,達邁
3646,電子零組件業,0,1,0,0,0,2026-03-05,2026-03-05,艾恩特
3652,電腦及週邊設備業,1,0,0,0,0,2026-03-05,2026-03-05,精聯
3653,電子零組件業,1,0,0,0,0,2026-03-05,2026-03-05,健策
3661,半導體業,1,0,0,0,0,2026-03-05,2026-03-05,世芯-KY
3663,其他電子類,0,1,0,0,0,2026-03-05,2026-03-05,鑫科
3664,通信網路業,0,1,0,0,0,2026-03-05,2026-03-05,安瑞-KY
3665,其他電子業,1,0,0,0,0,2026-03-05,2026-03-05,貿聯-KY
3666,光電業,0,1,0,0,0,2026-03-05,2026-03-05,光耀
3669,通信網路業,1,0,0,0,0,2026-03-05,2026-03-05,圓展
3672,通信網路業,0,1,0,0,0,2026-03-05,2026-03-05,康聯訊
3673,光電業,1,0,0,0,0,2026-03-05,2026-03-05,TPK-KY
3675,半導體業,0,1,0,0,0,2026-03-05,2026-03-05,德微
3679,電子零組件業,1,0,0,0,0,2026-03-05,2026-03-05,新至陞
3680,半導體業,0,1,0,0,0,2026-03-05,2026-03-05,家登
3682,電子工業,1,0,0,0,0,2026-02-15,2026-03-05,亞太電
3684,通信網路業,0,1,0,0,0,2026-03-05,2026-03-05,榮昌
3685,電機機械,0,1,0,0,0,2026-03-05,2026-03-05,元創精密
3686,半導體業,1,0,0,0,0,2026-03-05,2026-03-05,達能
3687,數位雲端類,0,1,0,0,0,2026-03-05,2026-03-05,歐買尬
3689,電子零組件業,0,1,0,0,0,2026-03-05,2026-03-05,湧德
3691,光電業,0,1,0,0,0,2026-03-05,2026-03-05,碩禾
3693,電腦及週邊設備業,0,1,0,0,0,2026-03-05,2026-03-05,營邦
3694,通信網路業,1,0,0,0,0,2026-03-05,2026-03-05,海華
3697,半導體業,1,0,0,0,0,2024-12-04,2026-03-05,F-晨星
3698,電子工業,1,0,0,0,0,2026-02-15,2026-03-05,隆達
3701,電腦及週邊設備業,1,0,0,0,0,2026-03-05,2026-03-05,大眾控
3702,電子通路業,1,0,0,0,0,2026-03-05,2026-03-05,大聯大
3703,建材營造,1,0,0,0,0,2026-03-05,2026-03-05,欣陸
3704,通信網路業,1,0,0,0,0,2026-03-05,2026-03-05,合勤控
3705,化學生技醫療,1,0,0,0,0,2026-03-05,2026-03-05,永信
3706,電腦及週邊設備業,1,0,0,0,0,2026-03-05,2026-03-05,神達
3707,半導體業,0,1,0,0,0,2026-03-05,2026-03-05,漢磊
3708,綠能環保,1,0,0,0,0,2026-03-05,2026-03-05,上緯投控
3709,電腦及週邊設備業,0,1,0,0,0,2026-03-05,2026-03-05,鑫聯大投控
3710,電子零組件業,0,1,0,0,0,2026-03-05,2026-03-05,連展投控
3711,半導體業,1,0,0,0,0,2026-03-05,2026-03-05,日月光投控
3712,電腦及週邊設備業,1,0,0,0,0,2026-03-05,2026-03-05,永崴投控
3713,綠能環保類,0,1,0,0,0,2026-03-05,2026-03-05,新晶投控
3714,光電業,1,0,0,0,0,2026-03-05,2026-03-05,富采
3715,電子零組件業,1,0,0,0,0,2026-03-05,2026-03-05,定穎投控
3716,化學生技醫療,1,0,0,0,0,2026-03-05,2026-03-05,中化控股
3717,汽車工業,1,0,0,0,0,2026-03-05,2026-03-05,聯嘉投控
4102,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,永日
4104,化學生技醫療,1,0,0,0,0,2026-03-05,2026-03-05,佳醫
4105,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,東洋
4106,化學生技醫療,1,0,0,0,0,2026-03-05,2026-03-05,雃博
4107,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,邦特
4108,化學生技醫療,1,0,0,0,0,2026-03-05,2026-03-05,懷特
4109,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,加捷生醫
4111,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,濟生
4113,建材營造,0,1,0,0,0,2026-03-05,2026-03-05,聯上
4114,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,健喬
4116,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,明基醫
4119,化學生技醫療,1,0,0,0,0,2026-03-05,2026-03-05,旭富
4120,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,友華
4121,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,優盛
4123,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,晟德
4126,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,太醫
4127,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,天良
4128,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,中天
4129,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,聯合
4130,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,健亞
4131,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,浩泰
4133,化學生技醫療,1,0,0,0,0,2026-03-05,2026-03-05,亞諾法
4137,化學生技醫療,1,0,0,0,0,2026-03-05,2026-03-05,麗豐-KY
4138,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,曜亞
4139,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,馬光-KY
4141,化學生技醫療,1,0,0,0,0,2026-03-02,2026-03-05,龍燈-KY
4142,化學生技醫療,1,0,0,0,0,2026-03-05,2026-03-05,國光生
4144,化學生技醫療,1,0,0,0,0,2026-03-02,2026-03-05,康聯-KY
4147,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,中裕
4148,化學生技醫療,1,0,0,0,0,2026-03-05,2026-03-05,全宇生技-KY
4152,生技醫療業,0,1,0,0,0,2021-10-02,2026-03-05,台微體
4153,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,鈺緯
4154,其他,0,1,0,0,0,2026-03-05,2026-03-05,樂威科-KY
4155,化學生技醫療,1,0,0,0,0,2026-03-05,2026-03-05,訊映
4157,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,太景*-KY
4160,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,訊聯基因
4161,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,聿新科
4162,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,智擎
4163,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,鐿鈦
4164,化學生技醫療,1,0,0,0,0,2026-03-05,2026-03-05,承業醫
4166,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,友霖
4167,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,松瑞藥
4168,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,醣聯
4171,農業科技業,0,1,0,0,0,2026-03-05,2026-03-05,瑞基
4173,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,久裕
4174,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,浩鼎
4175,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,杏一
4183,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,福永生技
4188,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,安克
4190,化學生技醫療,1,0,0,0,0,2026-03-05,2026-03-05,佐登-KY
4192,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,杏國
4198,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,欣大健康
4205,食品工業,0,1,0,0,0,2026-03-05,2026-03-05,中華食
4207,食品工業,0,1,0,0,0,2026-03-05,2026-03-05,環泰
4303,塑膠工業,0,1,0,0,0,2026-03-05,2026-03-05,信立
4304,塑膠工業,0,1,0,0,0,2026-03-05,2026-03-05,勝昱
4305,塑膠工業,0,1,0,0,0,2026-03-05,2026-03-05,世坤
4306,塑膠工業,1,0,0,0,0,2026-03-05,2026-03-05,炎洲
4401,紡織纖維,0,1,0,0,0,2026-03-05,2026-03-05,東隆興
4402,紡織纖維,0,1,0,0,0,2026-03-05,2026-03-05,郡都開發
4406,紡織纖維,0,1,0,0,0,2026-03-05,2026-03-05,新昕纖
4413,紡織纖維,0,1,0,0,0,2026-03-05,2026-03-05,飛寶企業
4414,紡織纖維,1,0,0,0,0,2026-03-05,2026-03-05,如興
4416,建材營造,0,1,0,0,0,2026-03-05,2026-03-05,三圓
4417,紡織纖維,0,1,0,0,0,2026-03-05,2026-03-05,金洲
4419,觀光餐旅,0,1,0,0,0,2026-03-05,2026-03-05,皇家美食
4420,紡織纖維,0,1,0,0,0,2026-03-05,2026-03-05,光明
4426,紡織纖維,1,0,0,0,0,2026-03-05,2026-03-05,利勤
4429,紡織纖維,0,1,0,0,0,2022-05-27,2026-03-05,聚紡
4430,其他,0,1,0,0,0,2026-03-05,2026-03-05,耀億
4432,紡織纖維,0,1,0,0,0,2026-03-05,2026-03-05,銘旺實
4433,紡織纖維,0,1,0,0,0,2026-03-05,2026-03-05,興采
4438,紡織纖維,1,0,0,0,0,2026-03-05,2026-03-05,廣越
4439,紡織纖維,1,0,0,0,0,2026-03-05,2026-03-05,冠星-KY
4440,紡織纖維,1,0,0,0,0,2026-03-05,2026-03-05,宜新實業
4441,紡織纖維,1,0,0,0,0,2026-03-05,2026-03-05,振大環球
4442,紡織纖維,0,1,0,0,0,2026-03-05,2026-03-05,竣邦-KY
4502,電機機械,0,1,0,0,0,2026-03-05,2026-03-05,健信
4503,電機機械,0,1,0,0,0,2026-03-05,2026-03-05,金雨
4506,電機機械,0,1,0,0,0,2026-03-05,2026-03-05,崇友
4510,電機機械,0,1,0,0,0,2026-03-05,2026-03-05,高鋒
4513,電機機械,0,1,0,0,0,2026-03-05,2026-03-05,福裕
4523,電機機械,0,1,0,0,0,2026-03-05,2026-03-05,永彰
4526,電機機械,1,0,0,0,0,2026-03-05,2026-03-05,東台
4527,電機機械,0,1,0,0,0,2026-03-05,2026-03-05,方土霖
4528,電機機械,0,1,0,0,0,2026-03-05,2026-03-05,江興鍛
4529,其他,0,1,0,0,0,2026-03-05,2026-03-05,淳紳
4530,觀光餐旅,0,1,0,0,0,2026-03-05,2026-03-05,宏易
4532,電機機械,1,0,0,0,0,2026-03-05,2026-03-05,瑞智
