stock_id,industry,best_short,best_long,fee_bps,table,test_total_return_strategy,test_total_return_bh,test_outperform,test_sharpe_strategy,test_mdd_strategy,test_excess_return
0050,ETF,40,120,10.0,price_daily,1.2431791908381515,-0.13112582781457105,1,0.8446436961668422,-0.21701602959309518,1.3743050186527226
0051,ETF,40,120,10.0,price_daily,1.7772946123203592,2.23321554770316,0,1.1579497240192538,-0.16637010676156605,-0.4559209353828009
0052,ETF,40,120,10.0,price_daily,-0.4114468879976869,-0.21242984826439126,0,0.2640091416658048,-0.8646630934150077,-0.19901703973329565
0053,ETF,40,120,10.0,price_daily,2.9171516378007722,3.619672131147545,0,1.1949436665552813,-0.2233362852481936,-0.7025204933467726
0054,ETF,40,120,10.0,price_daily,0.2370173700742506,0.44871794871795045,0,0.5499122355957411,-0.13640552995391686,-0.21170057864369984
0055,ETF,40,120,10.0,price_daily,0.6662655697516728,0.9340193704600597,0,0.6730433518668449,-0.18490580521362998,-0.26775380070838684
0056,ETF,40,120,10.0,price_daily,0.33785847847796346,0.5342522974101891,0,0.4371683697330841,-0.19840502731765175,-0.19639381893222563
0057,ETF,40,120,10.0,price_daily,2.024426257541764,3.206471494607065,0,1.0835384941584953,-0.2962818562103884,-1.1820452370653012
0061,ETF,40,120,10.0,price_daily,-0.3185908081039366,0.6062717770034829,0,-0.2909211010984295,-0.5332671046873668,-0.9248625851074195
2323,光電業,5,20,10.0,price_daily,0.4907570833054098,0.6119402985074658,0,0.34123612978668216,-0.47173409405037525,-0.121183215202056
2349,光電業,5,20,10.0,price_daily,-0.3903026718834506,0.41666666666665786,0,-0.08901471109948915,-0.6214886598812577,-0.8069693385501084
2374,光電業,5,20,10.0,price_daily,3.2451034839645763,4.388888888888877,0,0.8132788519548313,-0.3730918569292786,-1.1437854049243006
2393,光電業,5,20,10.0,price_daily,1.098039040459172,0.8680203045685251,1,0.5692380785763578,-0.40496298272026454,0.23001873589064692
2406,光電業,5,20,10.0,price_daily,7.764323287695721,2.407557354925774,1,0.9587575353701292,-0.5151753591558665,5.356765932769947
2409,光電業,5,20,10.0,price_daily,0.5199173724945396,-0.004065040650406693,1,0.35968916664239214,-0.4546156607771219,0.5239824131449463
2426,光電業,5,20,10.0,price_daily,-0.3312403101326933,0.048780487804874095,0,-0.07918580335600402,-0.6705199657844769,-0.3800207979375674
2429,光電業,5,20,10.0,price_daily,4.21192042388924,5.854700854700848,0,0.7833266662552654,-0.6183811909686001,-1.6427804308116079
2438,光電業,5,20,10.0,price_daily,1.5837089737366719,2.1590574374079545,0,0.5303340901221606,-0.7327099226332427,-0.5753484636712827
2466,光電業,5,20,10.0,price_daily,0.0999558445609281,1.0030165912518858,0,0.17772456482207608,-0.6160824899455335,-0.9030607466909577
2486,光電業,5,20,10.0,price_daily,8.098076942288241,8.957582184517525,0,1.0108498679462563,-0.47546503970238774,-0.8595052422292841
2489,光電業,5,20,10.0,price_daily,0.626425572537014,0.34666666666666623,1,0.3973328281508609,-0.4362944618575084,0.2797589058703478
2491,光電業,5,20,10.0,price_daily,1.2179890682428742,2.528368794326226,0,0.49311944970965865,-0.6040826772038025,-1.3103797260833518
3008,光電業,5,20,10.0,price_daily,-0.18008891046089714,-0.22395023328149022,1,-0.0003785274034942805,-0.5096655150948332,0.043861322820593074
3019,光電業,5,20,10.0,price_daily,0.5463736155879919,1.0996978851963686,0,0.36564019147409427,-0.5531192922820629,-0.5533242696083767
3024,光電業,5,20,10.0,price_daily,0.5653279690533837,0.8421052631578936,0,0.3810868952217711,-0.48974041914419675,-0.2767772941045099
3031,光電業,5,20,10.0,price_daily,0.897896521182084,0.8625592417061463,1,0.47683027077461826,-0.3432832994392122,0.03533727947593768
3038,光電業,5,20,10.0,price_daily,0.2559181041580221,1.457894736842119,0,0.25873831204745606,-0.552667164750831,-1.2019766326840968
3049,光電業,5,20,10.0,price_daily,0.1967916788349411,-0.17204301075268824,1,0.2340967184135265,-0.42719176400009207,0.3688346895876293
3050,光電業,5,20,10.0,price_daily,0.016163269463521424,0.3926002055498463,0,0.14686314697833294,-0.5246809326766347,-0.3764369360863249
3051,光電業,5,20,10.0,price_daily,6.533861104787956,4.875796178343978,1,0.7549320697744102,-0.5059049506894889,1.658064926443978
3059,光電業,5,20,10.0,price_daily,-0.08115764348553234,0.6336032388663981,0,0.10620705361947162,-0.5808960121218396,-0.7147608823519305
3066,光電業,5,20,10.0,price_daily,0.40709052183505356,1.2168284789644046,0,0.3263014685774927,-0.5002003739355683,-0.809737957129351
3128,光電業,5,20,10.0,price_daily,0.5252463888009444,1.1321428571428527,0,0.35218265524908693,-0.6854192224383097,-0.6068964683419082
3149,光電業,5,20,10.0,price_daily,2.9668152939757597,2.999999999999985,0,0.7077326181667656,-0.7883306094672762,-0.033184706024225186
3168,光電業,5,20,10.0,price_daily,0.10496373076572052,1.5776397515528,0,0.1914069162132456,-0.5847279957527526,-1.4726760207870795
3230,光電業,5,20,10.0,price_daily,6.546851261103595,6.295719844357954,1,0.7687508350376192,-0.5565726114715791,0.25113141674564066
3297,光電業,5,20,10.0,price_daily,0.5777734049746555,2.014598540145978,0,0.36668608882929965,-0.6495485487736109,-1.4368251351713226
3339,光電業,5,20,10.0,price_daily,0.5613046586537929,3.33620689655175,0,0.3493451635576686,-0.58773345068782,-2.7749022378979573
3356,光電業,5,20,10.0,price_daily,-0.16061559637192502,0.5334420880913582,0,0.07126649681012061,-0.48117051082074136,-0.6940576844632832
3362,光電業,5,20,10.0,price_daily,2.8177317303928575,1.1085972850678725,1,0.7222252435376622,-0.6160228755168432,1.709134445324985
3406,光電業,5,20,10.0,price_daily,1.9346986181293095,1.4297297297297336,1,0.6622150952135094,-0.31633298544057764,0.504968888399576
4933,光電業,5,20,10.0,price_daily,1.1981139462037866,1.7914691943127945,0,0.5436036250945687,-0.44031798407882794,-0.5933552481090079
4934,光電業,5,20,10.0,price_daily,1.6759488502279054,1.7156862745097854,0,0.4910948373160918,-0.6721798851717182,-0.039737424281879985
4935,光電業,5,20,10.0,price_daily,0.04464509597129873,0.30254777070063454,0,0.15531528633475344,-0.6349415096437563,-0.2579026747293358
4942,光電業,5,20,10.0,price_daily,0.23834136545091988,0.14999999999999747,1,0.2738030549847564,-0.305766121170415,0.08834136545092242
4944,光電業,5,20,10.0,price_daily,1.4236687000380934,-0.03333333333333477,1,0.5255923409322301,-0.4396444217329212,1.4570020333714282
